No.,State,District,Date,Flood Cause,Main River Basin,latitude,longitude,geocode_status
83,Sarawak,Belaga,22/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Rajang (Uma Belor Sungai Asap),2.7050035,113.7822214,success
84,Sarawak,Belaga,22/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Pembangunan / Pembukaan Tanah / Sampah Sarap",-,2.7050035,113.7822214,success
85,Melaka,Alor Gajah,21/04/2025,Hujan Lebat / Berterusan,Sungai Baru (RBUTP00012 - Ramuan China Kechil),2.3822875,102.2097982,success
86,Melaka,Alor Gajah,21/04/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Linggi (RBUTP00008 - Kg. Paya Lebar),2.3822875,102.2097982,success
87,Selangor,Sepang,21/04/2025,"Hujan Lebat / Berterusan, Longkang Tersumbat",Sungai Langat (Persiaran Selatan - Flyover Desa Pinggiran Putra),2.8059607,101.7352881,success
88,Negeri Sembilan,Port Dickson,21/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Lain-lain, Saliran Dalaman",Sungai Linggi (LGITP00018 - Kg. Tampin Linggi); Sungai Linggi (LGITP00021 - Kg. Tampin Kanan),2.52254,101.7962932,success
89,Melaka,Alor Gajah,21/04/2025,Hujan Lebat / Berterusan,Sungai Baru (SPUTTP0001 - Kg. Taboh Naning),2.3822875,102.2097982,success
90,Melaka,Alor Gajah,21/04/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Linggi (RBUTP00012 - Ramuan China Kechil),2.3822875,102.2097982,success
91,Melaka,Alor Gajah,21/04/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Linggi (RBUTP00012 - Ramuan China Kechil),2.3822875,102.2097982,success
92,Melaka,Alor Gajah,21/04/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Linggi (RBUTP00015 - Kg. Ramuan Cina Kechil),2.3822875,102.2097982,success
93,Pulau Pinang,Seberang Perai Utara,21/04/2025,"Air Laut Pasang, Hujan Lebat / Berterusan",Sungai Perai (LOKNTP0001 - Kg. Telok); Sungai Perai (LOKNTP0005 - Kg. Maklom); Sungai Perai (LOKNTP0003 - Kg. Alor Merah),5.5148341,100.4355477,success
94,Pulau Pinang,Seberang Perai Utara,21/04/2025,"Air Laut Pasang, Hujan Lebat / Berterusan",Sungai Perai (PRATP00188 - Kg. Tok Sani),5.5148341,100.4355477,success
95,Pulau Pinang,Seberang Perai Utara,21/04/2025,"Air Laut Pasang, Hujan Lebat / Berterusan",Sungai Perai (Taman Sin Tatt),5.5148341,100.4355477,success
96,Pulau Pinang,Seberang Perai Tengah,21/04/2025,"Air Laut Pasang, Hujan Lebat / Berterusan",Sungai Juru (PMRWTP0001 - Kg. Permatang Rawa); Sungai Perai (PRAITP0005 - Kg. Guar Jering); Sungai Juru (PMRWTP0002 - Taman Guru); Sungai Perai (PMRWTP0003 - Kg. Tanah Liat); Sungai Perai (KLMTP00063 - Taman Guar Perahu); Sungai Juru (Kg. Pelet); Sungai Perai (KGSMTP0002 - Kg. Kubang Semang),5.353468,100.4517935,success
97,Perak,Batang Padang,21/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Perak (SKITP0002 - Kg. Klah Baru),4.1974675,101.2592696,success
98,Kedah,Yan,20/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Pembangunan / Pembukaan Tanah / Sampah Sarap, Struktur / Lintasan Menghalang Laluan Air",-,5.79495,100.372658,success
99,Melaka,Alor Gajah,20/04/2025,Hujan Lebat / Berterusan,Sungai Melaka (SMAPTP0001 - Simpang Ampat),2.3822875,102.2097982,success
100,Melaka,Alor Gajah,20/04/2025,Hujan Lebat / Berterusan,Sungai Linggi (RBUTP00012 - Ramuan China Kechil); Sungai Baru (RBUTP00012 - Ramuan China Kechil),2.3822875,102.2097982,success
101,Negeri Sembilan,Port Dickson,20/04/2025,"Air Laut Pasang, Air Sungai Melimpah , Hujan Lebat / Berterusan, Lain-lain, Saliran Dalaman",Sungai Linggi (Taman Linggi Idaman),2.52254,101.7962932,success
102,Selangor,Petaling,20/04/2025,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Klang (KLNGTP0063 - Kg. Bukit Lanchong),3.1844294,101.5364186,success
103,Kedah,Baling,19/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Sungai Muda (KG SEPUTEH),5.673566,100.9158818,success
104,Negeri Sembilan,Port Dickson,19/04/2025,"Air Laut Pasang, Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Lukut Besar (JMAHTP0001 - Kg. Jimah Lama),2.52254,101.7962932,success
105,Sarawak,Bintulu,18/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan",Batang Tatau (SK Nanga Penyarai); Batang Tatau (Rumah Panjang Micheal Kuang); Batang Tatau (Rumah Panjang Samun),3.1738542,113.0428485,success
106,Pahang,Lipis,17/04/2025,"Air Sungai Melimpah , Hujan Lebat / Berterusan, Saliran Dalaman , Struktur / Lintasan Menghalang Laluan Air",Sungai Pahang (PERSTP0004 - Teluk Gunung); Sungai Pahang (PERSTP0001 - Kg. Berhamah),4.1792487,102.0538096,success
107,Selangor,Hulu Langat,17/04/2025,Hujan Lebat / Berterusan,Sungai Langat (LGATTP0001 - Kg. Batu 10 Cheras),3.1132958,101.8159546,success
